node,zone,lat,lon,dist_dc_mi,dc_within_10,prem_2020,prem_2021,prem_2022,prem_2023,prem_2024,prem_2025,prem_2026
FANWOOD,PSEG,40.635,-74.387,7.465,7,-0.015,-0.464,-0.232,0.079,-0.226,0.053,0.428
SANDHILL,PSEG,40.150,-74.522,7.509,1,-0.008,-0.450,-0.284,-0.202,-0.197,-0.103,-0.609
DELAIR,PSEG,39.987,-75.047,8.008,3,-0.336,-1.230,-1.486,-1.469,-0.419,-0.776,-1.238
NEWMILFR,PSEG,40.938,-74.017,8.049,4,0.422,3.612,2.267,2.189,0.635,0.694,1.819
STON JC,JCPL,40.934,-74.518,8.205,2,0.039,-0.584,0.177,0.406,-0.193,0.060,-0.219
LAWNSIDE,PSEG,39.880,-75.033,8.225,3,-0.232,-1.025,-1.095,-1.357,-0.297,-0.640,-0.998
PARAMUS,PSEG,40.972,-74.083,8.365,5,0.452,3.124,2.631,1.992,0.711,0.728,1.639
WALDWICK,PSEG,41.003,-74.121,8.371,4,0.386,2.826,2.583,1.919,1.080,1.700,0.898
YARDVILL,PSEG,40.170,-74.651,8.481,1,-0.214,-0.838,-0.967,-0.876,-0.501,-0.566,-1.070
LINDENWO,AECO,39.834,-74.969,8.539,3,-0.382,-1.379,-2.219,,,,
CUTHBERT,PSEG,39.915,-75.062,8.630,3,-0.389,-1.325,-1.727,-1.602,-0.490,-0.890,-1.468
BURLINGT,PSEG,40.068,-74.833,8.713,3,-0.397,-1.294,-1.547,-1.395,-0.601,-0.832,-1.458
FAATC,AECO,39.488,-74.534,8.837,1,,,,-1.017,-0.036,-0.243,-0.201
HUNTGLEN,PSEG,40.400,-74.654,8.852,5,,-0.569,-0.675,-0.499,-0.358,-0.410,-1.227
GILLETTE,JCPL,40.686,-74.496,8.937,3,-0.044,-0.700,-0.291,0.236,-0.224,-0.009,-0.107
SUMM JC,JCPL,40.698,-74.366,9.064,2,-0.027,-0.687,-0.190,0.269,-0.205,0.015,-0.086
CARDIFF,AECO,39.388,-74.621,9.093,1,-0.207,-1.082,-1.169,-1.185,-0.241,-0.501,-0.702
MCCLEABD,PSEG,40.433,-74.239,9.325,1,0.455,3.058,2.917,1.890,0.718,0.708,1.620
TRENTON,PSEG,40.231,-74.714,9.387,1,-0.126,-0.758,-0.800,-0.727,-0.483,-0.480,-1.013
OAKLAND,RECO,41.034,-74.284,9.392,4,0.574,2.789,2.585,3.029,2.393,3.619,1.275
DUMONTPS,PSEG,40.954,-73.995,9.491,1,0.427,3.389,2.237,2.055,0.588,0.691,1.803
LAWRESUB,PSEG,40.284,-74.717,9.568,1,-0.116,-0.753,-0.746,-0.613,-0.542,-0.495,-0.885
RUNNEMED,PSEG,39.860,-75.046,9.606,2,-0.250,-1.064,-1.181,-1.428,-0.386,-0.748,-1.197
BERLIN,AECO,39.807,-74.924,9.719,2,-0.399,-1.387,-1.816,-1.530,-0.612,-0.889,-1.382
ALLENDAL,RECO,41.033,-74.134,9.747,2,0.375,2.698,1.833,3.087,2.025,3.189,0.620
UPPERPIT,AECO,39.841,-75.029,9.819,1,-0.407,-1.426,-1.872,-1.547,-0.527,-0.890,-1.375
MTHOLLY,PSEG,40.000,-74.723,9.859,2,-0.348,-1.241,-1.496,-1.372,-0.517,-0.778,-1.241
WOODLYNN,PSEG,39.909,-75.084,9.882,1,,,-1.368,-1.450,-0.372,-0.734,-1.172
CRESSKIL,RECO,40.947,-73.957,9.998,1,0.438,2.170,1.843,2.289,2.174,3.420,0.805
WWHARTON,JCPL,40.900,-74.621,10.101,0,0.068,-0.308,0.517,0.546,-0.248,0.044,-0.168
TEWKSBRY,JCPL,40.704,-74.754,10.284,0,-0.066,-0.295,0.164,0.394,-0.772,-0.547,-1.635
PRNCTNPS,PSEG,40.366,-74.689,10.402,0,-0.019,-0.525,-0.389,-0.339,-0.248,-0.255,-0.740
STRATFOR,AECO,39.818,-75.008,10.478,0,-0.353,-1.338,-1.685,-1.485,-0.533,-0.854,-1.236
CHESTERF,PSEG,40.754,-74.636,10.539,0,-0.270,-0.926,-1.037,-0.982,-0.499,-0.599,-1.114
BEAVERBR,PSEG,39.873,-75.080,10.623,0,-0.423,-1.395,-1.889,-1.599,-0.548,-0.942,-1.563
GLOUCEST,PSEG,39.888,-75.095,10.854,0,-0.406,-1.353,-1.813,-1.629,-0.510,-0.910,-1.533
HAMLTNPS,PSEG,40.226,-74.741,10.865,0,-0.085,-0.683,-0.728,-0.661,-0.437,-0.449,-0.944
LOCUSTPS,PSEG,39.946,-75.110,10.874,0,-0.310,-1.164,-1.368,-1.428,-0.340,-0.686,-1.056
LENOX AE,AECO,39.535,-74.476,10.961,0,-0.091,-0.730,-0.531,-0.857,0.102,-0.046,0.258
MERCER,PSEG,40.189,-74.728,11.059,0,-0.136,-0.786,-0.830,-0.723,-0.493,-0.501,-1.030
ENGLAND,AECO,39.293,-74.628,11.111,0,-0.060,-0.885,-0.781,-1.053,0.029,-0.208,-0.261
AIRCOAE,AECO,39.853,-75.076,11.122,0,,,-1.246,-1.420,-0.140,-0.464,-0.786
HOLTEC,PSEG,39.916,-75.111,11.147,0,-0.320,-1.186,-1.426,-1.456,-0.376,-0.730,-1.148
