node,zone,lat,lon,dist_dc_mi,dc_within_10,prem_2020,prem_2021,prem_2022,prem_2023,prem_2024,prem_2025,prem_2026
MADISNPS,PSEG,40.745,-74.028,1.673,21,0.520,2.214,1.757,1.524,0.498,0.591,1.904
SEWAREN,PSEG,40.569,-74.256,1.684,2,-0.004,-0.109,-0.187,-0.101,-0.239,0.101,0.825
DRTTOTO,PSEG,40.850,-74.074,1.741,24,,,2.569,1.753,0.405,0.486,0.750
NICHLSN,PSEG,40.763,-74.187,1.744,25,,,,,,-0.777,-1.223
NEWARK,PSEG,40.723,-74.139,1.789,21,0.328,1.671,1.369,1.303,0.441,0.516,1.529
SOMERVIL,PSEG,40.571,-74.646,1.852,9,-0.117,-0.692,-0.533,-0.271,-0.477,-0.282,-0.622
BRUNSWIC,PSEG,40.449,-74.440,1.874,11,-0.091,-0.531,-0.560,-0.295,-0.348,-0.344,-1.286
14STREET,PSEG,40.752,-74.054,1.941,21,,,,-0.247,-0.137,0.073,-0.202
CLAYSTR,PSEG,40.768,-74.168,1.957,25,0.278,1.589,1.268,1.184,0.313,0.362,0.990
BENNETTS,PSEG,40.469,-74.549,2.032,13,-0.109,-0.590,-0.589,-0.282,-0.431,-0.360,-1.236
MORRISTO,JCPL,40.795,-74.465,2.053,3,0.010,-0.630,0.062,0.450,-0.258,-0.166,-1.172
NWRKARPT,PSEG,40.698,-74.171,2.392,21,0.256,1.466,1.148,1.248,0.433,0.485,1.362
NPATERSO,PSEG,40.917,-74.172,2.428,8,0.457,3.100,2.920,1.895,0.712,0.723,1.660
MINUEST,PSEG,40.756,-74.218,2.434,20,0.083,0.309,0.140,0.671,0.240,0.178,0.839
WHIPPANY,JCPL,40.819,-74.396,2.450,3,0.002,-0.744,-0.104,0.297,-0.198,0.011,-0.267
BURL_TAP,AECO,39.979,-74.868,2.477,3,,,,,-0.209,-0.550,-0.996
KINGSLAN,PSEG,40.792,-74.120,2.535,25,0.344,1.781,1.453,1.328,0.347,0.396,1.404
WCALDWEL,PSEG,40.849,-74.277,2.551,14,0.009,-0.314,0.068,0.434,-0.110,0.099,-0.008
TURNPIKE,PSEG,40.752,-74.123,2.609,21,0.335,1.785,1.304,1.240,0.296,0.371,1.302
LIVINGPS,PSEG,40.786,-74.329,2.672,10,,,,,-0.482,0.062,-0.180
BELLEMDT,PSEG,40.793,-74.161,2.699,26,-0.037,-0.547,-0.397,-0.364,-0.329,-0.290,-0.776
BERGEN,PSEG,40.844,-74.016,2.709,15,0.394,2.472,2.048,1.780,0.519,0.739,1.918
HOWEAVE,PSEG,40.742,-74.230,2.734,17,,,,,0.572,0.678,1.912
CLIFFS,PSEG,40.823,-73.988,2.776,16,,,,,,0.729,2.039
QTS,PSEG,40.772,-74.207,2.835,26,-0.024,-0.551,-0.159,0.098,-0.170,0.029,0.206
DOREMUSP,PSEG,40.710,-74.224,2.922,20,0.290,1.592,1.235,1.282,0.427,0.469,1.429
HINCHMAN,PSEG,40.946,-74.245,2.966,7,0.373,3.334,2.980,1.822,0.599,0.653,0.755
MELRICH,PSEG,40.501,-74.428,2.975,11,,-0.390,-0.382,-0.327,-0.268,-0.218,-0.846
CLIF PS,PSEG,40.869,-74.173,3.068,20,0.376,2.774,2.244,1.779,0.456,0.486,2.006
LARRABEE,JCPL,40.145,-74.126,3.084,2,-0.031,-0.628,-0.354,-0.329,-0.199,-0.182,-0.081
OCEANVIE,JCPL,40.206,-74.032,3.151,2,0.013,-0.552,-0.158,-0.124,-0.047,-0.038,0.378
DOWJONES,PSEG,40.390,-74.544,3.169,7,-0.024,-0.499,-0.345,-0.305,-0.228,-0.192,-0.669
LAKENELS,PSEG,40.574,-74.415,3.233,11,-0.057,-0.659,-0.295,0.201,-0.240,-0.060,0.018
HACKENSA,PSEG,40.873,-74.049,3.257,15,,,,1.220,0.650,0.721,1.904
CEDAR,AECO,40.851,-74.215,3.325,20,-0.017,-0.662,-0.530,-0.668,-0.066,-0.128,0.102
MARION,PSEG,40.786,-74.265,3.427,13,0.265,1.562,1.216,1.285,0.426,0.491,1.376
GREYSTON,JCPL,40.843,-74.518,3.484,2,0.010,-0.602,0.114,0.360,-0.287,-0.071,-0.480
KULLERRD,PSEG,40.894,-74.149,3.490,15,0.400,2.731,2.715,1.805,0.668,0.688,1.877
READINGT,JCPL,40.590,-74.685,3.494,3,-0.047,-0.613,-0.415,0.003,-0.475,-0.277,-1.228
LEWIS,AECO,39.388,-74.515,3.496,1,-0.137,-0.933,-0.867,,,,
EATONCST,JCPL,40.324,-74.526,3.538,3,0.034,-0.515,-0.068,-0.097,-0.022,-0.017,0.312
MARIONDR,PSEG,40.937,-74.162,3.610,7,0.021,-0.504,0.130,0.477,0.114,0.135,0.150
WOODBRDG,JCPL,40.553,-74.287,3.634,7,-0.063,-0.708,-0.315,0.099,-0.246,-0.088,0.292
MANVILTP,AECO,40.540,-74.582,3.659,11,,-1.175,-1.972,-1.590,-0.669,-1.004,-1.557
MONTVILL,JCPL,40.896,-74.359,3.660,7,0.004,-0.734,-0.008,0.354,-0.172,0.057,-0.275
SENTINEL,PSEG,40.562,-74.533,3.705,11,0.005,-0.520,-0.192,-0.091,-0.254,-0.084,-0.279
COXSCORN,PSEG,40.484,-74.442,3.758,11,-0.385,-1.318,-1.673,-1.452,-0.579,-0.873,-1.400
COOKRD,PSEG,40.809,-74.204,3.779,20,0.216,2.178,1.420,1.291,0.334,0.378,1.320
DEEPRN,JCPL,40.393,-74.362,3.801,2,-0.025,-0.635,-0.187,-0.016,-0.151,-0.077,0.294
MEADOWRD,PSEG,40.515,-74.393,3.807,11,-0.050,-0.354,-0.385,-0.162,-0.316,-0.020,0.432
SAYREVIL,JCPL,40.456,-74.351,3.873,9,-0.063,-0.700,-0.301,0.042,-0.255,-0.092,0.327
ORANGEHT,PSEG,40.758,-74.249,3.954,15,,,,1.073,0.180,0.176,0.460
