zip,zip_lat,zip_lon,nearest_node,node_zone,dist_miles,coord_quality,lmp_2020,lmp_2021,lmp_2022,lmp_2023,lmp_2024,lmp_2025,pct_chg_2020_2025
08021,39.80616,-75.00001,STRATFOR,AECO,1.42,fuzzy,17.86,18.15,19.85,23.37,17.44,21.53,20.5
08022,40.06759,-74.70574,MANSFLD,PSEG,3.26,fuzzy,,,,23.29,17.52,21.63,
08023,39.68811,-75.4969,CHAMBERS,AECO,0.77,fuzzy,17.75,18.08,19.75,23.3,17.36,21.47,21.0
08026,39.83365,-74.969,LINDENWO,AECO,0.95,fuzzy,17.84,18.12,19.82,,,,
08027,39.82852,-75.29438,VALERO,AECO,0.68,exact,17.86,18.16,19.82,23.36,17.36,21.5,20.4
08028,39.69213,-75.12467,GLASSBOR,AECO,0.42,fuzzy,17.87,18.19,19.89,23.44,17.46,21.57,20.7
08029,39.84094,-75.06721,HILLTPPS,PSEG,0.92,fuzzy,,,,23.52,17.36,21.5,
08030,39.88956,-75.11849,GLOUCEST,PSEG,1.07,fuzzy,17.84,18.16,19.82,23.33,17.36,21.51,20.6
08031,39.86636,-75.09467,BEAVERBR,PSEG,0.86,fuzzy,17.82,18.14,19.81,23.31,17.35,21.49,20.6
08032,39.78054,-75.05961,TERRACE,AECO,0.2,exact,17.91,18.2,19.92,23.48,17.49,21.59,20.5
08033,39.89242,-75.03665,LAWNSIDE,PSEG,2.4,exact,17.97,18.3,19.98,23.5367,17.48,21.62,20.3
08034,39.9061,-75.00038,MAPLESHD,PSEG,2.82,fuzzy,17.99,18.3,19.98,23.55,17.5,21.65,20.3
08035,39.87913,-75.06592,BEAVERBR,PSEG,1.44,fuzzy,17.82,18.14,19.81,23.31,17.35,21.49,20.6
08036,39.97796,-74.83633,BURL_TAP,AECO,2.06,manual_town,,,,,17.49,21.66,
08037,39.63168,-74.77389,DACOSTA,AECO,1.21,exact,18.01,18.43,20.07,23.7,17.71,21.86,21.4
08038,39.47,-75.49029,SALEM,PSEG,2.31,exact,17.64,17.95,19.61,23.08,17.16,21.23,20.4
08039,39.68566,-75.27731,LINCOLN1,AECO,1.94,manual_town,18.0,18.31,19.98,23.59,17.64,21.73,20.7
08041,40.03852,-74.6841,MANSFLD,PSEG,5.54,fuzzy,,,,23.29,17.52,21.63,
08042,40.01366,-74.66203,MTHOLLY,PSEG,6.81,manual_town,17.9,18.15,19.87,23.37,17.45,21.57,20.5
08043,39.84857,-74.95284,ECHELON,PSEG,2.16,exact,,,,,17.3,21.48,
08045,39.86721,-75.02916,LAWNSIDE,PSEG,0.73,exact,17.97,18.3,19.98,23.5367,17.48,21.62,20.3
08046,40.02795,-74.88698,LEVITTOW,PSEG,0.36,fuzzy,17.87,18.145,19.835,23.315,17.385,21.53,20.5
08048,39.95385,-74.80303,LUMBERTO,PSEG,0.44,fuzzy,17.88,18.13,19.85,23.36,17.44,21.55,20.5
08049,39.85457,-75.03814,RUNNEMED,PSEG,0.75,fuzzy,17.96,18.28,19.96,23.52,17.43,21.58,20.2
08050,39.71213,-74.23189,BARNEGAT,AECO,3.88,exact,18.15,18.3,20.12,23.78,17.86,21.96,21.0
08051,39.78402,-75.17598,MANTUA,AECO,0.27,exact,17.93,18.22,19.86,23.4,17.43,21.56,20.2
08052,39.95238,-74.9949,MAPLESHD,PSEG,1.52,fuzzy,17.99,18.3,19.98,23.55,17.5,21.65,20.3
08053,39.85668,-74.90081,ECHELON,PSEG,1.89,exact,,,,,17.3,21.48,
08054,39.94899,-74.90025,BURL_TAP,AECO,3.52,manual_town,,,,,17.49,21.66,
08055,39.8627,-74.82231,MEDFORD2,PSEG,3.07,fuzzy,17.91,18.17,19.88,23.4,17.47,21.59,20.5
08056,39.78368,-75.2553,MICKLETO,AECO,1.97,fuzzy,17.82,18.1533,19.8067,23.3333,17.3333,21.49,20.6
08057,39.97966,-74.94131,CINNAMIN,PSEG,1.9,fuzzy,17.87,18.16,19.83,23.32,17.37,21.525,20.5
08059,39.88482,-75.09267,GLOUCEST,PSEG,0.42,fuzzy,17.84,18.16,19.82,23.33,17.36,21.51,20.6
08060,40.01,-74.79221,MTHOLLY,PSEG,1.18,manual_town,17.9,18.15,19.87,23.37,17.45,21.57,20.5
08061,39.79887,-75.20537,MANTUA,AECO,2.14,exact,17.93,18.22,19.86,23.4,17.43,21.56,20.2
08062,39.7161,-75.21927,LINCOLN1,AECO,1.8,manual_town,18.0,18.31,19.98,23.59,17.64,21.73,20.7
08063,39.8673,-75.18562,THOROFAR,PSEG,2.09,fuzzy,17.785,18.15,19.81,23.325,17.335,21.495,20.9
08064,39.93735,-74.61627,SAMPTON,PSEG,6.8,fuzzy,17.9,18.16,19.88,23.39,17.45,21.58,20.6
08065,40.00261,-75.03527,DELAIR,PSEG,1.75,exact,17.91,18.19,19.87,23.39,17.41,21.57,20.4
08066,39.83517,-75.23353,CROWNPNT,AECO,0.74,fuzzy,17.66,18.14,19.8,23.32,17.32,21.49,21.7
08067,39.73919,-75.41141,OLDMAN,AECO,2.09,exact,17.93,18.33,19.91,23.45,17.5,21.65,20.7
08068,39.96139,-74.66592,SAMPTON,PSEG,5.21,fuzzy,17.9,18.16,19.88,23.39,17.45,21.58,20.6
08069,39.70314,-75.45068,CHAMBERS,AECO,1.91,fuzzy,17.75,18.08,19.75,23.3,17.36,21.47,21.0
08070,39.61912,-75.51607,CHURCHTO,AECO,3.92,fuzzy,17.74,18.07,19.75,23.29,17.37,21.49,21.1
08071,39.73165,-75.13426,LAMB,AECO,1.09,exact,17.93,18.22,19.94,23.51,17.48,21.6,20.5
08072,39.54468,-75.41257,QUINTON,AECO,0.33,exact,18.02,18.39,20.0,23.64,17.53,21.84,21.2
08073,40.00951,-74.86684,BURL_TAP,AECO,1.08,manual_town,,,,,17.49,21.66,
08074,39.71617,-75.16344,LAMB,AECO,1.0,exact,17.93,18.22,19.94,23.51,17.48,21.6,20.5
08075,40.02968,-74.949,RIVRSDPS,PSEG,1.03,manual_town,17.91,18.17,19.87,23.36,17.42,21.58,20.5
08077,40.00016,-74.99163,CINNAMIN,PSEG,1.24,fuzzy,17.87,18.16,19.83,23.32,17.37,21.525,20.5
08078,39.85341,-75.0755,AIRCOAE,AECO,0.49,manual_town,,,,23.46,17.53,21.69,
08079,39.54241,-75.43168,QUINTON,AECO,1.24,exact,18.02,18.39,20.0,23.64,17.53,21.84,21.2
08080,39.75735,-75.12204,CARNEYPT,AECO,0.96,manual_town,17.81,18.18,19.81,23.29,,,
08081,39.73294,-74.97666,SICKLER,AECO,0.21,exact,17.73,18.02,19.71,23.19,17.28,21.37,20.5
08083,39.84131,-75.02861,UPPERPIT,AECO,1.39,manual_town,17.8,18.12,19.8,23.34,17.4,21.51,20.8
08084,39.82899,-75.01554,STRATFOR,AECO,0.4,fuzzy,17.86,18.15,19.85,23.37,17.44,21.53,20.5
08085,39.75377,-75.33104,BECKETT,AECO,1.24,exact,17.89,18.17,19.87,23.56,17.48,21.62,20.8
08086,39.85121,-75.18566,THOROFAR,PSEG,0.99,fuzzy,17.785,18.15,19.81,23.325,17.335,21.495,20.9
08087,39.60396,-74.38218,MOTTS,AECO,2.26,fuzzy,18.18,18.36,20.12,23.8,17.87,21.96,20.8
08088,39.83731,-74.69527,TABERNAC,AECO,1.62,fuzzy,17.93,18.19,19.9,23.43,17.47,21.61,20.5
08089,39.71309,-74.83103,WINSLOW,AECO,4.04,exact,17.79,18.1,19.8,23.31,17.36,21.47,20.7
08090,39.79799,-75.14853,MANTUA,AECO,1.7,exact,17.93,18.22,19.86,23.4,17.43,21.56,20.2
08091,39.80712,-74.92418,BERLIN,AECO,0.91,exact,17.84,18.12,19.82,23.33,17.4,21.5,20.5
08092,39.64718,-74.2846,MOTTS,AECO,5.32,fuzzy,18.18,18.36,20.12,23.8,17.87,21.96,20.8
08093,39.86157,-75.13298,DEPTFORD,PSEG,0.28,exact,17.82,18.15,19.82,23.33,17.35,21.51,20.7
08094,39.6506,-74.95931,SILVERLA,AECO,4.04,manual_town,17.82,18.11,19.8,23.3,17.38,21.47,20.5
08095,39.6493,-74.85801,WINSLOW,AECO,0.82,exact,17.79,18.1,19.8,23.31,17.36,21.47,20.7
08096,39.8294,-75.12903,WOODBURY,PSEG,1.35,exact,,18.16,19.91,23.45,17.41,21.55,
08097,39.81329,-75.15065,WOODBURY,PSEG,2.06,exact,,18.16,19.91,23.45,17.41,21.55,
08098,39.6393,-75.3298,WOODSTOW,AECO,0.66,fuzzy,17.97,18.15,19.93,23.53,17.59,21.71,20.8
08102,39.95212,-75.12115,LOCUSTPS,PSEG,1.29,fuzzy,17.92,18.22,19.9,23.44,17.43,21.61,20.6
08103,39.9352,-75.1127,LOCUSTPS,PSEG,0.68,fuzzy,17.92,18.22,19.9,23.44,17.43,21.61,20.6
08104,39.91646,-75.11136,HOLTEC,PSEG,0.44,exact,17.92,18.21,19.9,23.43,17.42,21.59,20.5
08105,39.95034,-75.09628,LOCUSTPS,PSEG,1.92,fuzzy,17.92,18.22,19.9,23.44,17.43,21.61,20.6
08106,39.89099,-75.07333,GLOUCEST,PSEG,1.33,fuzzy,17.84,18.16,19.82,23.33,17.36,21.51,20.6
08107,39.90866,-75.08445,WOODLYNN,PSEG,0.92,fuzzy,,,19.9,23.41,17.42,21.59,
